Date,Volume,Close,Average
2014-07-08,65222000,95.35,95.585
2014-07-07,56468000,95.968,95.0495
2014-07-03,22891800,94.03,93.75
2014-07-02,28465000,93.48,93.62375
2014-07-01,38223000,93.52,93.56
2014-06-30,49589000,92.93,92.71125
2014-06-27,64029000,91.98,91.3925
2014-06-26,32629000,90.9,90.53
2014-06-25,36869000,90.36,90.23
2014-06-24,39036000,90.28,90.74
2014-06-23,43694000,90.83,91.0925
2014-06-20,100898000,90.91,91.5525
2014-06-19,35528000,91.86,91.947225
2014-06-18,33514000,92.18,92.0225
2014-06-17,29726000,92.08,92.2225
2014-06-16,35561000,92.2,91.9775
2014-06-13,54525000,91.28,91.7
2014-06-12,54749000,92.29,93.0875
2014-06-11,45681000,93.86,94.055
2014-06-10,62777000,94.25,94.4
2014-06-09,75414997,93.7,93.0075
2014-06-06,12497800,645.57,647.8
2014-06-05,10850200,647.35,646.382475
2014-06-04,11981500,644.82,641.565
2014-06-03,10453900,637.54,633.2475
2014-06-02,13191100,628.65,629.985
2014-05-30,20143600,633,636.0125
2014-05-29,13445500,635.38,631.9675
2014-05-28,11267200,624.01,625.91
2014-05-27,12459500,625.63,620.75
